,Variable,Variable Name,Number,TP_variable,TP_fixed_mean,TP_fixed_min,TP_fixed_max
0,Comp Prod,g,1,1314.0,1100.0,1200.0,1100.0
1,Comp Prod,g,2,1786.0,2000.0,1900.0,2000.0
2,Comp Prod,g,3,1100.0,1100.0,1100.0,1100.0
3,Comp Prod,g,4,2000.0,2000.0,2000.0,2000.0
4,Final Prod,h,1,1479.0,1200.0,1200.0,2000.0
5,Final Prod,h,2,1621.0,1900.0,1900.0,1100.0
6,Comp ship,x,"(1, 1)",1314.0,1100.0,1200.0,1100.0
7,Comp ship,x,"(1, 2)",-0.0,0.0,0.0,0.0
8,Comp ship,x,"(2, 1)",165.0,100.0,-0.0,900.0
9,Comp ship,x,"(2, 2)",1621.0,1900.0,1900.0,1100.0
10,Comp ship,x,"(3, 1)",1100.0,1100.0,1100.0,1100.0
11,Comp ship,x,"(3, 2)",0.0,-0.0,-0.0,-0.0
12,Comp ship,x,"(4, 1)",379.0,100.0,100.0,900.0
13,Comp ship,x,"(4, 2)",1621.0,1900.0,1900.0,1100.0
14,Prod ship,y,"(1, 1)",1200.0,1200.0,1200.0,1200.0
15,Prod ship,y,"(1, 2)",279.0,0.0,0.0,800.0
16,Prod ship,y,"(1, 3)",0.0,0.0,0.0,0.0
17,Prod ship,y,"(2, 1)",0.0,-0.0,-0.0,-0.0
18,Prod ship,y,"(2, 2)",721.0,1000.0,1000.0,200.0
19,Prod ship,y,"(2, 3)",900.0,900.0,900.0,900.0
20,"TP c,f",tp,"(1, 1)",160.0662100456621,250.0,160.0,340.0
21,"TP c,f",tp,"(1, 2)",0,0,0,0
22,"TP c,f",tp,"(2, 1)",350.0,260.0,0,350.0
23,"TP c,f",tp,"(2, 2)",190.0,340.0,190.0,490.0
24,"TP c,f",tp,"(3, 1)",360.0,270.0,180.0,360.0
25,"TP c,f",tp,"(3, 2)",0,0,0,0
26,"TP c,f",tp,"(4, 1)",360.0,270.0,180.0,360.0
27,"TP c,f",tp,"(4, 2)",110.0,260.0,110.0,410.0
28,"TP f,d",tp,"(1, 1)",788.0,660.0,520.0,800.0
29,"TP f,d",tp,"(1, 2)",630.0,0,0,830.0
30,"TP f,d",tp,"(1, 3)",0,0,0,0
31,"TP f,d",tp,"(2, 1)",0,0,0,0
32,"TP f,d",tp,"(2, 2)",829.9791955617198,725.0,620.0,830.0
33,"TP f,d",tp,"(2, 3)",826.0,740.0,600.0,880.0
34,Profit,,,681422.55,546365.0,564870.0,502405.0
35,Comp Man Profit,,,336330.15,734475.0,90030.0,1225905.0
36,Prod Man Profit,,,345092.4,-377500.0,8250.0,-612500.0
37,Dist Profit,,,0.0,189390.0,466590.0,-111000.0
